@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R23-26-weka.filters.unsupervised.attribute.AddExpression-E(a7+a9+a11+a13)/4-NmeanGhostx-weka.filters.unsupervised.attribute.AddExpression-E(a8+a10+a12+a14)/4-NmeanGhosty-weka.filters.unsupervised.attribute.AddExpression-E(a15+a16+a17+a18)/4-NmeanDist-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R1-22,24-26,23-weka.filters.unsupervised.attribute.Remove-R15-25'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute Direction {North,South,East,West,Stop}

@data
14,13,1,1,1,1,15,6,3,1,16,13,7,1,East
15,13,1,1,1,1,16,6,3,1,17,13,7,1,East
16,13,1,1,1,1,17,6,3,1,17,13,7,1,East
17,13,1,1,1,1,18,6,3,1,5,1,7,1,West
18,13,1,1,0,1,17,6,3,1,5,1,7,1,East
17,13,1,1,1,1,18,6,3,1,5,1,7,1,South
18,13,1,1,0,1,18,6,3,1,5,1,7,1,South
18,12,1,1,0,1,18,7,3,1,5,1,7,1,West
18,11,1,1,0,1,17,7,3,1,5,1,7,1,South
17,11,1,1,1,1,17,6,3,1,5,1,7,1,East
17,10,1,1,1,1,18,6,3,1,5,1,7,1,South
18,10,1,1,0,1,18,5,3,1,5,1,7,1,South
18,9,1,1,0,1,18,5,3,1,5,1,7,1,West
18,8,1,1,0,1,17,5,3,1,5,1,7,1,South
17,8,1,1,1,1,17,6,3,1,5,1,7,1,West
17,7,1,1,1,1,16,6,3,1,5,1,7,1,South
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,13,13,5,13,12,North
13,11,1,1,1,1,5,6,5,14,12,5,13,13,North
13,12,1,1,1,1,6,6,4,14,11,5,13,14,West
13,13,1,1,1,1,6,7,5,14,12,5,13,14,West
12,13,1,1,1,1,7,7,5,14,12,5,7,1,West
11,13,1,1,1,1,7,7,6,14,12,6,7,1,West
10,13,1,1,1,1,8,7,7,14,12,7,7,1,West
9,13,1,1,1,1,8,8,7,14,11,7,7,1,West
8,13,1,1,1,1,9,8,6,14,12,7,7,1,North
7,13,1,1,1,1,10,8,7,14,13,7,7,1,East
7,14,0,1,1,1,11,8,3,1,12,7,7,1,East
8,14,0,1,1,1,10,8,3,1,12,7,7,1,East
9,14,0,1,1,1,10,7,3,1,12,8,7,1,West
10,14,0,1,1,1,9,7,3,1,12,9,7,1,East
9,14,0,1,1,1,10,7,3,1,13,9,7,1,South
10,14,0,1,1,1,10,6,3,1,12,9,7,1,South
10,13,1,1,1,1,10,7,3,1,12,10,7,1,East
10,12,1,1,1,1,11,7,3,1,12,11,7,1,South
11,12,1,1,1,1,11,8,3,1,12,10,7,1,West
11,11,1,1,1,1,10,8,3,1,12,10,7,1,East
10,11,1,1,1,1,11,8,3,1,11,10,7,1,East
11,11,1,1,1,1,12,8,3,1,11,9,7,1,South
12,11,1,1,1,1,12,8,3,1,11,8,7,1,West
12,10,1,1,1,1,11,8,3,1,10,8,7,1,South
11,10,1,1,1,1,11,8,3,1,9,8,7,1,West
11,9,1,1,1,1,10,8,3,1,10,8,7,1,West
10,9,1,1,1,1,9,8,3,1,9,8,7,1,South
9,9,1,1,1,1,9,8,3,1,10,8,7,1,East
9,8,1,1,1,1,1,1,3,1,11,8,7,1,East
10,8,1,1,1,1,1,1,3,1,12,8,7,1,East
11,8,1,1,1,1,1,1,3,1,13,8,7,1,East
12,8,1,1,1,1,1,1,3,1,13,7,7,1,South
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,5,4,12,12,6,13,12,East
13,11,1,1,1,1,6,5,4,11,12,5,14,12,West
14,11,1,1,1,1,6,4,3,11,12,5,7,1,West
13,11,1,1,1,1,6,4,2,11,12,5,7,1,West
12,11,1,1,1,1,7,4,2,12,13,5,7,1,West
11,11,1,1,1,1,6,4,3,12,14,5,7,1,West
10,11,1,1,1,1,7,4,4,12,14,6,7,1,West
9,11,1,1,1,1,6,4,5,12,13,6,7,1,West
8,11,1,1,1,1,6,4,6,12,13,7,7,1,West
7,11,1,1,1,1,6,3,6,12,13,6,7,1,North
6,11,1,1,1,1,6,4,6,13,14,6,7,1,East
6,12,1,1,1,1,6,3,7,13,14,6,7,1,West
7,12,1,1,1,1,6,4,6,13,14,5,7,1,South
6,12,1,1,1,1,6,4,3,1,14,6,7,1,South
6,11,1,1,1,1,6,4,3,1,14,6,7,1,East
6,10,1,1,1,0,7,4,3,1,13,6,7,1,South
7,10,1,1,1,1,7,4,3,1,13,6,7,1,South
7,9,1,1,1,1,7,5,3,1,12,6,7,1,South
7,8,1,1,1,1,7,6,3,1,13,6,7,1,South
7,7,1,1,1,1,7,6,3,1,13,6,7,1,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,East
8,6,1,1,1,1,1,1,3,1,13,6,7,1,East
9,6,1,1,1,1,1,1,3,1,13,6,7,1,East
10,6,1,1,1,1,1,1,3,1,13,7,7,1,East
11,6,1,1,1,1,1,1,3,1,12,7,7,1,East
12,6,1,1,1,1,1,1,3,1,13,7,7,1,East
13,6,1,1,1,1,1,1,3,1,14,7,7,1,North
14,6,1,1,1,1,1,1,3,1,14,8,7,1,East
14,7,1,1,1,1,1,1,3,1,15,8,7,1,North
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,7,5,12,14,6,13,12,North
13,11,1,1,1,1,6,7,5,13,14,5,13,13,North
13,12,1,1,1,1,6,8,5,12,14,6,13,14,West
13,13,1,1,1,1,6,7,4,12,13,6,13,14,West
12,13,1,1,1,1,5,7,5,12,13,7,7,1,West
11,13,1,1,1,1,4,7,5,11,13,7,7,1,West
10,13,1,1,1,1,4,7,5,12,13,6,7,1,West
9,13,1,1,1,1,4,6,5,13,13,7,7,1,West
8,13,1,1,1,1,3,6,4,13,13,6,7,1,West
7,13,1,1,1,1,4,6,4,12,13,7,7,1,West
6,13,1,1,1,1,5,6,4,11,14,7,7,1,West
5,13,1,1,1,1,5,6,3,11,14,6,7,1,West
4,13,1,1,1,1,4,6,2,11,15,6,7,1,West
3,13,1,1,1,1,4,7,2,12,14,6,7,1,West
2,13,1,1,1,1,4,8,1,12,14,7,7,1,South
1,13,1,1,1,0,3,8,1,12,14,6,7,1,East
1,12,1,1,1,0,3,9,3,1,14,6,7,1,South
2,12,1,1,1,1,2,9,3,1,13,6,7,1,West
2,11,1,0,1,1,1,9,3,1,13,7,7,1,East
1,11,1,0,1,0,1,9,3,1,13,7,7,1,East
2,11,1,0,1,1,2,9,3,1,13,8,7,1,East
3,11,1,0,1,1,1,9,3,1,14,8,7,1,East
4,11,1,0,1,1,1,9,3,1,15,8,7,1,East
5,11,1,0,1,1,2,9,3,1,15,7,7,1,South
6,11,1,1,1,1,1,9,3,1,15,6,7,1,South
6,10,1,1,1,0,1,9,3,1,15,7,7,1,West
6,9,1,1,1,1,2,9,3,1,15,6,7,1,West
5,9,0,1,1,1,2,8,3,1,15,5,7,1,West
4,9,0,1,1,1,2,9,3,1,14,5,7,1,East
3,9,0,1,1,1,1,1,3,1,14,6,7,1,East
4,9,0,1,1,1,1,1,3,1,14,5,7,1,East
5,9,0,1,1,1,1,1,3,1,14,5,7,1,East
6,9,1,1,1,1,1,1,3,1,14,6,7,1,East
7,9,1,1,1,1,1,1,3,1,14,6,7,1,East
8,9,1,1,1,1,1,1,3,1,13,6,7,1,East
9,9,1,1,1,1,1,1,3,1,12,6,7,1,East
10,9,1,1,1,1,1,1,3,1,12,5,7,1,South
11,9,1,1,1,1,1,1,3,1,11,5,7,1,South
11,8,1,1,1,1,1,1,3,1,11,6,7,1,East
11,7,1,1,1,1,1,1,3,1,12,6,7,1,West
12,10,1,1,1,1,5,6,5,12,13,6,13,12,South
13,10,1,1,1,1,5,6,5,12,13,6,13,12,South
13,9,1,1,1,1,5,6,5,12,13,6,13,12,South
13,8,1,1,1,1,5,6,5,12,13,6,13,12,South
13,7,1,1,1,1,5,6,5,12,13,6,13,12,West
13,6,1,1,1,1,5,6,5,12,5,1,13,12,West
12,6,1,1,1,1,5,6,5,12,5,1,13,12,West
11,6,1,1,1,1,5,6,5,12,5,1,13,12,West
10,6,1,1,1,1,5,6,5,12,5,1,13,12,West
9,6,1,1,1,1,5,6,5,12,5,1,13,12,West
8,6,1,1,1,1,5,6,5,12,5,1,13,12,West
7,6,1,1,1,1,5,6,5,12,5,1,13,12,West
6,6,1,1,1,1,5,6,5,12,5,1,13,12,North
5,6,1,1,1,1,1,1,5,12,5,1,13,12,North
5,7,1,1,1,1,1,1,5,12,5,1,13,12,North
5,8,1,1,1,1,1,1,5,12,5,1,13,12,East
5,9,0,1,1,1,1,1,5,12,5,1,13,12,North
6,9,1,1,1,1,1,1,5,12,5,1,13,12,North
6,10,1,1,1,0,1,1,5,12,5,1,13,12,West
6,11,1,1,1,1,1,1,5,12,5,1,13,12,North
5,11,1,0,1,1,1,1,5,12,5,1,13,12,East
5,12,1,1,1,1,1,1,3,1,5,1,13,12,East
6,12,1,1,1,1,1,1,3,1,5,1,13,12,East
7,12,1,1,1,1,1,1,3,1,5,1,13,12,East
8,12,1,1,1,1,1,1,3,1,5,1,13,12,East
9,12,1,1,1,1,1,1,3,1,5,1,13,12,East
10,12,1,1,1,1,1,1,3,1,5,1,13,12,East
11,12,1,1,1,1,1,1,3,1,5,1,13,12,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,West
10,12,1,1,1,1,5,6,5,12,13,6,7,1,West
9,12,1,1,1,1,5,6,5,12,13,6,7,1,West
8,12,1,1,1,1,5,6,5,12,13,6,7,1,West
7,12,1,1,1,1,5,6,5,12,13,6,7,1,West
6,12,1,1,1,1,5,6,5,12,13,6,7,1,South
5,12,1,1,1,1,5,6,3,1,13,6,7,1,East
5,11,1,0,1,1,5,6,3,1,13,6,7,1,East
6,11,1,1,1,1,5,6,3,1,13,6,7,1,East
7,11,1,1,1,1,5,6,3,1,13,6,7,1,South
8,11,1,1,1,1,5,6,3,1,13,6,7,1,West
8,10,1,1,1,1,5,6,3,1,13,6,7,1,West
7,10,1,1,1,1,5,6,3,1,13,6,7,1,South
6,10,1,1,1,0,5,6,3,1,13,6,7,1,West
6,9,1,1,1,1,5,6,3,1,13,6,7,1,South
5,9,0,1,1,1,5,6,3,1,13,6,7,1,South
5,8,1,1,1,1,5,6,3,1,13,6,7,1,South
5,7,1,1,1,1,5,6,3,1,13,6,7,1,East
5,6,1,1,1,1,1,1,3,1,13,6,7,1,East
6,6,1,1,1,1,1,1,3,1,13,6,7,1,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,East
8,6,1,1,1,1,1,1,3,1,13,6,7,1,East
9,6,1,1,1,1,1,1,3,1,13,6,7,1,East
10,6,1,1,1,1,1,1,3,1,13,6,7,1,East
11,6,1,1,1,1,1,1,3,1,13,6,7,1,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,West
10,12,1,1,1,1,5,6,5,12,13,6,7,1,West
9,12,1,1,1,1,5,6,5,12,13,6,7,1,West
8,12,1,1,1,1,5,6,5,12,13,6,7,1,West
7,12,1,1,1,1,5,6,5,12,13,6,7,1,West
6,12,1,1,1,1,5,6,5,12,13,6,7,1,South
5,12,1,1,1,1,5,6,3,1,13,6,7,1,East
5,11,1,0,1,1,5,6,3,1,13,6,7,1,South
6,11,1,1,1,1,5,6,3,1,13,6,7,1,South
6,10,1,1,1,0,5,6,3,1,13,6,7,1,West
6,9,1,1,1,1,5,6,3,1,13,6,7,1,South
5,9,0,1,1,1,5,6,3,1,13,6,7,1,South
5,8,1,1,1,1,5,6,3,1,13,6,7,1,South
5,7,1,1,1,1,5,6,3,1,13,6,7,1,East
5,6,1,1,1,1,1,1,3,1,13,6,7,1,East
6,6,1,1,1,1,1,1,3,1,13,6,7,1,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,East
8,6,1,1,1,1,1,1,3,1,13,6,7,1,East
9,6,1,1,1,1,1,1,3,1,13,6,7,1,East
10,6,1,1,1,1,1,1,3,1,13,6,7,1,East
11,6,1,1,1,1,1,1,3,1,13,6,7,1,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,West
10,12,1,1,1,1,5,6,5,12,13,6,7,1,West
9,12,1,1,1,1,5,6,5,12,13,6,7,1,West
8,12,1,1,1,1,5,6,5,12,13,6,7,1,West
7,12,1,1,1,1,5,6,5,12,13,6,7,1,West
6,12,1,1,1,1,5,6,5,12,13,6,7,1,South
5,12,1,1,1,1,5,6,3,1,13,6,7,1,East
5,11,1,0,1,1,5,6,3,1,13,6,7,1,South
6,11,1,1,1,1,5,6,3,1,13,6,7,1,South
6,10,1,1,1,0,5,6,3,1,13,6,7,1,West
6,9,1,1,1,1,5,6,3,1,13,6,7,1,South
5,9,0,1,1,1,5,6,3,1,13,6,7,1,South
5,8,1,1,1,1,5,6,3,1,13,6,7,1,South
5,7,1,1,1,1,5,6,3,1,13,6,7,1,East
5,6,1,1,1,1,1,1,3,1,13,6,7,1,East
6,6,1,1,1,1,1,1,3,1,13,6,7,1,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,East
8,6,1,1,1,1,1,1,3,1,13,6,7,1,East
9,6,1,1,1,1,1,1,3,1,13,6,7,1,East
10,6,1,1,1,1,1,1,3,1,13,6,7,1,East
11,6,1,1,1,1,1,1,3,1,13,6,7,1,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,West
11,10,1,1,1,1,5,6,5,12,13,6,13,12,West
10,10,1,1,1,1,5,6,5,12,13,6,13,12,West
9,10,1,1,1,1,5,6,5,12,13,6,13,12,West
8,10,1,1,1,1,5,6,5,12,13,6,13,12,West
7,10,1,1,1,1,5,6,5,12,13,6,13,12,South
6,10,1,1,1,0,5,6,5,12,13,6,13,12,West
6,9,1,1,1,1,5,6,5,12,13,6,13,12,South
5,9,0,1,1,1,5,6,5,12,13,6,13,12,South
5,8,1,1,1,1,5,6,5,12,13,6,13,12,South
5,7,1,1,1,1,5,6,5,12,13,6,13,12,North
5,6,1,1,1,1,1,1,5,12,13,6,13,12,North
5,7,1,1,1,1,1,1,5,12,13,6,13,12,North
5,8,1,1,1,1,1,1,5,12,13,6,13,12,East
5,9,0,1,1,1,1,1,5,12,13,6,13,12,East
6,9,1,1,1,1,1,1,5,12,13,6,13,12,East
7,9,1,1,1,1,1,1,5,12,13,6,13,12,North
8,9,1,1,1,1,1,1,5,12,13,6,13,12,West
8,10,1,1,1,1,1,1,5,12,13,6,13,12,West
7,10,1,1,1,1,1,1,5,12,13,6,13,12,North
6,10,1,1,1,0,1,1,5,12,13,6,13,12,West
6,11,1,1,1,1,1,1,5,12,13,6,13,12,North
5,11,1,0,1,1,1,1,5,12,13,6,13,12,East
5,12,1,1,1,1,1,1,3,1,13,6,13,12,East
6,12,1,1,1,1,1,1,3,1,13,6,13,12,East
7,12,1,1,1,1,1,1,3,1,13,6,13,12,East
8,12,1,1,1,1,1,1,3,1,13,6,13,12,East
9,12,1,1,1,1,1,1,3,1,13,6,13,12,East
10,12,1,1,1,1,1,1,3,1,13,6,13,12,East
11,12,1,1,1,1,1,1,3,1,13,6,13,12,East
12,12,1,1,1,1,1,1,3,1,13,6,13,12,South
13,12,1,1,1,1,1,1,3,1,13,6,7,1,South
13,11,1,1,1,1,1,1,3,1,13,6,7,1,South
13,10,1,1,1,1,1,1,3,1,13,6,7,1,South
13,9,1,1,1,1,1,1,3,1,13,6,7,1,South
13,8,1,1,1,1,1,1,3,1,13,6,7,1,South
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,South
13,12,1,1,1,1,5,6,5,12,13,6,7,1,South
13,11,1,1,1,1,5,6,5,12,13,6,7,1,South
13,10,1,1,1,1,5,6,5,12,13,6,7,1,South
13,9,1,1,1,1,5,6,5,12,13,6,7,1,South
13,8,1,1,1,1,5,6,5,12,13,6,7,1,South
13,7,1,1,1,1,5,6,5,12,13,6,7,1,West
13,6,1,1,1,1,5,6,5,12,5,1,7,1,West
12,6,1,1,1,1,5,6,5,12,5,1,7,1,West
11,6,1,1,1,1,5,6,5,12,5,1,7,1,West
10,6,1,1,1,1,5,6,5,12,5,1,7,1,West
9,6,1,1,1,1,5,6,5,12,5,1,7,1,West
8,6,1,1,1,1,5,6,5,12,5,1,7,1,West
7,6,1,1,1,1,5,6,5,12,5,1,7,1,West
6,6,1,1,1,1,5,6,5,12,5,1,7,1,North
5,6,1,1,1,1,1,1,5,12,5,1,7,1,North
5,7,1,1,1,1,1,1,5,12,5,1,7,1,North
5,8,1,1,1,1,1,1,5,12,5,1,7,1,East
5,9,0,1,1,1,1,1,5,12,5,1,7,1,North
6,9,1,1,1,1,1,1,5,12,5,1,7,1,North
6,10,1,1,1,0,1,1,5,12,5,1,7,1,West
6,11,1,1,1,1,1,1,5,12,5,1,7,1,North
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,West
10,12,1,1,1,1,5,6,5,12,13,6,7,1,West
9,12,1,1,1,1,5,6,5,12,13,6,7,1,West
8,12,1,1,1,1,5,6,5,12,13,6,7,1,West
7,12,1,1,1,1,5,6,5,12,13,6,7,1,West
6,12,1,1,1,1,5,6,5,12,13,6,7,1,South
5,12,1,1,1,1,5,6,3,1,13,6,7,1,East
5,11,1,0,1,1,5,6,3,1,13,6,7,1,East
6,11,1,1,1,1,5,6,3,1,13,6,7,1,South
7,11,1,1,1,1,5,6,3,1,13,6,7,1,West
7,10,1,1,1,1,5,6,3,1,13,6,7,1,South
6,10,1,1,1,0,5,6,3,1,13,6,7,1,West
6,9,1,1,1,1,5,6,3,1,13,6,7,1,South
5,9,0,1,1,1,5,6,3,1,13,6,7,1,South
5,8,1,1,1,1,5,6,3,1,13,6,7,1,South
5,7,1,1,1,1,5,6,3,1,13,6,7,1,East
5,6,1,1,1,1,1,1,3,1,13,6,7,1,East
6,6,1,1,1,1,1,1,3,1,13,6,7,1,East
7,6,1,1,1,1,1,1,3,1,13,6,7,1,East
8,6,1,1,1,1,1,1,3,1,13,6,7,1,East
9,6,1,1,1,1,1,1,3,1,13,6,7,1,East
10,6,1,1,1,1,1,1,3,1,13,6,7,1,East
11,6,1,1,1,1,1,1,3,1,13,6,7,1,East
12,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,10,1,1,1,1,5,6,5,12,13,6,13,12,North
13,11,1,1,1,1,5,6,5,12,13,6,13,12,West
13,12,1,1,1,1,5,6,5,12,13,6,7,1,West
12,12,1,1,1,1,5,6,5,12,13,6,7,1,West
11,12,1,1,1,1,5,6,5,12,13,6,7,1,West
10,12,1,1,1,1,5,6,5,12,13,6,7,1,West
9,12,1,1,1,1,5,6,5,12,13,6,7,1,West
8,12,1,1,1,1,5,6,5,12,13,6,7,1,West
7,12,1,1,1,1,5,6,5,12,13,6,7,1,West
6,12,1,1,1,1,5,6,5,12,13,6,7,1,South
5,12,1,1,1,1,5,6,3,1,13,6,7,1,East
5,11,1,0,1,1,5,6,3,1,13,6,7,1,South
6,11,1,1,1,1,5,6,3,1,13,6,7,1,South
6,10,1,1,1,0,5,6,3,1,13,6,7,1,West
6,9,1,1,1,1,5,6,3,1,13,6,7,1,South
5,9,0,1,1,1,5,6,3,1,13,6,7,1,South
