@relation pacman_data

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute LegalStop {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute Direction {North, South, East, West, Stop}

@data
 17,7,1,0,1,1,1,1,1,3,1,5,1,18,7,-1,-1,-1,1,-1,0,756,South
 17,7,1,0,1,1,1,1,1,3,1,5,1,18,7,-1,-1,-1,2,-1,0,755,South
 18,7,1,1,0,1,1,1,1,3,1,5,1,18,6,-1,-1,-1,1,-1,0,754,East
 18,7,1,1,0,1,1,1,1,3,1,5,1,18,6,-1,-1,-1,1,-1,0,753,East
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,6,4,6,10,7,11,14,6,12,6,6,17,14,2,-1,Stop
 1,11,0,1,1,0,1,6,5,6,9,7,11,14,7,11,7,6,18,14,2,-2,Stop
 1,11,0,1,1,0,1,6,5,6,10,6,11,14,6,11,6,5,18,14,2,-3,Stop
 1,10,1,1,0,0,1,6,4,6,10,6,10,14,6,11,5,5,17,13,2,-4,South
 1,9,1,1,1,0,1,6,5,6,10,6,11,14,6,9,6,7,15,12,2,-5,South
 2,9,0,1,1,1,1,5,5,6,10,7,11,14,7,7,5,7,14,11,2,-6,East
 3,9,0,1,1,1,1,5,4,5,10,7,11,14,7,7,3,6,12,10,2,-7,East
 4,9,0,1,1,1,1,6,4,5,10,6,11,13,7,7,2,4,10,9,2,-8,East
 5,9,1,1,1,1,1,6,3,3,1,6,11,12,7,7,-1,3,9,8,2,191,East
 5,10,1,1,1,0,1,6,4,3,1,5,11,12,7,7,-1,1,10,9,2,190,North
 5,11,0,1,1,1,1,7,4,3,1,5,1,12,7,9,-1,-1,10,10,2,389,North
 6,11,0,1,1,1,1,7,4,3,1,5,1,12,8,8,-1,-1,10,9,2,388,East
 7,11,0,0,1,1,1,7,3,3,1,5,1,13,8,8,-1,-1,8,8,2,387,East
 8,11,0,0,1,1,1,7,4,3,1,5,1,12,8,8,-1,-1,7,7,2,386,East
 9,11,0,0,1,1,1,7,4,3,1,5,1,12,8,9,-1,-1,6,6,2,385,East
 10,11,0,1,1,1,1,7,3,3,1,5,1,12,8,11,-1,-1,4,5,2,384,East
 11,11,0,1,1,1,1,7,3,3,1,5,1,12,9,12,-1,-1,3,4,2,383,East
 12,11,0,0,1,1,1,7,3,3,1,5,1,12,9,13,-1,-1,3,3,2,382,East
 13,11,0,0,1,1,1,7,3,3,1,5,1,12,8,14,-1,-1,3,2,2,381,East
 14,11,0,1,1,1,1,7,4,3,1,5,1,13,8,14,-1,-1,3,1,2,380,East
 14,10,1,1,0,0,1,7,5,3,1,5,1,14,8,12,-1,-1,3,8,1,479,South
 14,9,1,1,1,1,1,8,5,3,1,5,1,15,8,10,-1,-1,3,7,1,478,South
 14,8,1,1,1,1,1,7,5,3,1,5,1,15,7,10,-1,-1,2,6,1,477,South
 15,8,1,1,1,1,1,8,5,3,1,5,1,15,7,10,-1,-1,1,7,1,476,East
 16,8,1,1,1,1,1,8,5,3,1,5,1,15,7,11,-1,-1,1,8,1,475,East
 16,7,1,0,1,1,1,7,5,3,1,5,1,15,8,11,-1,-1,2,7,1,474,South
 15,7,1,0,1,1,1,7,4,3,1,5,1,15,8,11,-1,-1,2,6,1,473,West
 14,7,1,1,1,1,1,7,3,3,1,5,1,14,8,11,-1,-1,2,5,1,472,West
 14,8,1,1,1,1,1,7,3,3,1,5,1,13,8,12,-1,-1,2,6,1,471,North
 14,9,1,1,1,1,1,8,3,3,1,5,1,13,7,12,-1,-1,3,7,1,470,North
 13,9,0,1,1,1,1,8,3,3,1,5,1,13,7,11,-1,-1,1,6,1,469,West
 13,8,1,1,1,1,1,8,3,3,1,5,1,7,1,10,-1,-1,-1,5,1,668,South
 14,8,1,1,1,1,1,7,3,3,1,5,1,7,1,12,-1,-1,-1,6,1,667,East
 15,8,1,1,1,1,1,7,4,3,1,5,1,7,1,12,-1,-1,-1,7,1,666,East
 15,9,0,1,1,1,1,7,3,3,1,5,1,7,1,14,-1,-1,-1,8,1,665,North
 15,9,0,1,1,1,1,8,3,3,1,5,1,7,1,13,-1,-1,-1,8,1,664,North
 14,9,1,1,1,1,1,7,3,3,1,5,1,7,1,13,-1,-1,-1,7,1,663,West
 13,9,0,1,1,1,1,7,3,3,1,5,1,7,1,12,-1,-1,-1,6,1,662,West
 12,9,0,1,1,1,1,8,3,3,1,5,1,7,1,10,-1,-1,-1,5,1,661,West
 11,9,1,0,1,1,1,8,3,3,1,5,1,7,1,9,-1,-1,-1,4,1,660,West
 10,9,1,1,1,1,1,8,3,3,1,5,1,7,1,8,-1,-1,-1,3,1,659,West
 10,8,1,1,0,1,1,9,3,3,1,5,1,7,1,6,-1,-1,-1,2,1,658,South
 10,7,1,1,0,1,1,8,3,3,1,5,1,7,1,6,-1,-1,-1,1,1,657,South
 10,6,1,1,0,1,1,8,4,3,1,5,1,7,1,4,-1,-1,-1,-1,0,756,South
 10,5,1,1,1,1,1,9,4,3,1,5,1,7,1,2,-1,-1,-1,-1,0,755,South
 10,4,1,1,1,1,1,8,4,3,1,5,1,7,1,2,-1,-1,-1,-1,0,754,South
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,6,4,5,9,8,11,14,6,12,6,7,18,14,2,-1,Stop
 1,11,0,1,1,0,1,7,4,4,9,8,11,14,6,13,5,7,19,14,2,-2,Stop
 1,11,0,1,1,0,1,8,4,5,9,7,11,14,5,14,6,6,19,14,2,-3,Stop
 2,11,0,0,1,1,1,8,3,5,8,6,11,14,5,14,6,4,17,13,2,-4,East
 3,11,0,0,1,1,1,8,4,6,8,5,11,13,5,12,6,2,17,12,2,-5,East
 4,11,0,0,1,1,1,7,4,6,8,6,11,14,5,10,5,2,16,11,2,-6,East
 5,11,0,1,1,1,1,7,5,5,8,7,11,14,5,8,3,2,14,10,2,-7,East
 5,10,1,1,1,0,1,8,5,5,8,7,11,14,6,8,2,3,12,9,2,-8,South
 5,9,1,1,1,1,1,7,5,6,8,7,11,14,7,6,2,4,12,8,2,-9,South
 5,8,1,1,1,1,1,7,5,6,9,8,11,14,6,5,2,6,12,7,2,-10,South
 6,8,1,1,1,1,1,6,5,5,9,7,11,14,5,3,2,4,12,6,2,-11,East
 6,9,1,1,1,1,1,5,5,5,9,6,11,15,5,5,1,2,14,7,2,-12,North
 6,10,1,1,0,1,1,5,5,5,10,5,1,15,4,6,1,-1,15,8,2,187,North
 5,10,1,1,1,0,1,5,4,3,1,5,1,15,4,6,-1,-1,16,9,2,386,West
 5,10,1,1,1,0,1,5,4,3,1,5,1,15,4,6,-1,-1,15,9,2,385,West
 5,9,1,1,1,1,1,5,4,3,1,5,1,15,5,5,-1,-1,15,8,2,384,South
 5,8,1,1,1,1,1,4,4,3,1,5,1,15,4,5,-1,-1,13,7,2,383,South
 6,8,1,1,1,1,1,3,4,3,1,5,1,14,4,7,-1,-1,13,6,2,382,East
 7,8,1,1,1,1,1,2,4,3,1,5,1,14,3,9,-1,-1,13,5,2,381,East
 8,8,1,1,1,1,1,2,3,3,1,5,1,15,3,11,-1,-1,11,4,2,380,East
 9,8,1,1,1,1,1,2,4,3,1,5,1,14,3,11,-1,-1,10,3,2,379,East
 10,8,1,1,0,1,1,2,3,3,1,5,1,14,3,13,-1,-1,9,2,2,378,East
 10,7,1,1,0,1,1,2,4,3,1,5,1,14,3,11,-1,-1,7,1,2,377,South
 10,6,1,1,0,1,1,3,4,3,1,5,1,13,3,9,-1,-1,6,8,1,476,South
 10,5,1,1,1,1,1,3,5,3,1,5,1,13,3,7,-1,-1,5,9,1,475,South
 10,4,1,1,1,1,1,4,5,3,1,5,1,13,3,7,-1,-1,4,10,1,474,South
 9,4,1,1,1,1,1,3,5,3,1,5,1,13,3,7,-1,-1,6,11,1,473,West
 8,4,1,1,1,1,1,2,5,3,1,5,1,14,3,7,-1,-1,7,12,1,472,West
 7,4,1,1,1,1,1,2,4,3,1,5,1,14,3,5,-1,-1,8,13,1,471,West
 6,4,1,1,1,1,1,2,5,3,1,5,1,14,3,5,-1,-1,9,14,1,470,West
 5,4,1,1,1,1,1,3,5,3,1,5,1,14,3,3,-1,-1,10,15,1,469,West
 4,4,1,1,1,1,1,4,5,3,1,5,1,14,3,1,-1,-1,10,16,1,468,West
 3,4,1,1,1,1,1,3,5,3,1,5,1,14,4,1,-1,-1,11,17,1,467,West
 3,5,0,1,1,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,12,16,1,666,North
 3,5,0,1,1,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,11,16,1,665,North
 3,5,0,1,1,1,1,1,1,3,1,5,1,14,5,-1,-1,-1,12,16,1,664,North
 2,5,0,1,1,1,1,1,1,3,1,5,1,14,4,-1,-1,-1,14,17,1,663,West
 1,5,1,1,1,0,1,1,1,3,1,5,1,14,3,-1,-1,-1,14,18,1,662,West
 1,6,1,1,0,0,1,1,1,3,1,5,1,13,3,-1,-1,-1,16,17,1,661,North
 1,7,1,1,1,0,1,1,1,3,1,5,1,14,3,-1,-1,-1,16,16,1,660,North
 1,8,1,1,1,0,1,1,1,3,1,5,1,14,4,-1,-1,-1,17,15,1,659,North
 1,9,1,1,1,0,1,1,1,3,1,5,1,14,4,-1,-1,-1,17,14,1,658,North
 1,10,1,1,0,0,1,1,1,3,1,5,1,14,5,-1,-1,-1,18,13,1,657,North
 1,11,0,1,1,0,1,1,1,3,1,5,1,14,5,-1,-1,-1,19,14,1,656,North
 2,11,0,0,1,1,1,1,1,3,1,5,1,14,5,-1,-1,-1,17,13,1,655,East
 3,11,0,0,1,1,1,1,1,3,1,5,1,14,6,-1,-1,-1,15,12,1,654,East
 4,11,0,0,1,1,1,1,1,3,1,5,1,14,7,-1,-1,-1,15,11,1,653,East
 5,11,0,1,1,1,1,1,1,3,1,5,1,14,6,-1,-1,-1,14,10,1,652,East
 6,11,0,1,1,1,1,1,1,3,1,5,1,14,6,-1,-1,-1,14,9,1,651,East
 7,11,0,0,1,1,1,1,1,3,1,5,1,14,5,-1,-1,-1,12,8,1,650,East
 8,11,0,0,1,1,1,1,1,3,1,5,1,14,6,-1,-1,-1,12,7,1,649,East
 9,11,0,0,1,1,1,1,1,3,1,5,1,14,5,-1,-1,-1,12,6,1,648,East
 10,11,0,1,1,1,1,1,1,3,1,5,1,15,5,-1,-1,-1,12,5,1,647,East
 11,11,0,1,1,1,1,1,1,3,1,5,1,15,4,-1,-1,-1,12,4,1,646,East
 12,11,0,0,1,1,1,1,1,3,1,5,1,16,4,-1,-1,-1,11,3,1,645,East
 13,11,0,0,1,1,1,1,1,3,1,5,1,16,4,-1,-1,-1,11,2,1,644,East
 14,11,0,1,1,1,1,1,1,3,1,5,1,16,3,-1,-1,-1,9,1,1,643,East
 15,11,0,0,1,1,1,1,1,3,1,5,1,15,3,-1,-1,-1,8,2,1,642,East
 16,11,0,0,1,1,1,1,1,3,1,5,1,15,3,-1,-1,-1,9,3,1,641,East
 17,11,0,0,1,1,1,1,1,3,1,5,1,15,3,-1,-1,-1,9,4,1,640,East
 16,11,0,0,1,1,1,1,1,3,1,5,1,15,4,-1,-1,-1,7,3,1,639,West
 15,11,0,0,1,1,1,1,1,3,1,5,1,16,4,-1,-1,-1,8,2,1,638,West
 14,11,0,1,1,1,1,1,1,3,1,5,1,16,4,-1,-1,-1,8,1,1,637,West
 14,10,1,1,0,0,1,1,1,3,1,5,1,16,5,-1,-1,-1,8,-1,0,736,South
 14,9,1,1,1,1,1,1,1,3,1,5,1,16,4,-1,-1,-1,6,-1,0,735,South
 14,8,1,1,1,1,1,1,1,3,1,5,1,16,5,-1,-1,-1,6,-1,0,734,South
 14,7,1,1,1,1,1,1,1,3,1,5,1,17,5,-1,-1,-1,6,-1,0,733,South
 14,6,1,1,0,0,1,1,1,3,1,5,1,18,5,-1,-1,-1,5,-1,0,732,South
 14,5,1,1,1,1,1,1,1,3,1,5,1,18,5,-1,-1,-1,4,-1,0,731,South
 15,5,0,1,1,1,1,1,1,3,1,5,1,18,5,-1,-1,-1,4,-1,0,730,East
 16,5,0,1,1,1,1,1,1,3,1,5,1,18,6,-1,-1,-1,2,-1,0,729,East
 17,5,0,1,1,1,1,1,1,3,1,5,1,18,5,-1,-1,-1,2,-1,0,728,East
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,5,5,5,9,7,11,14,6,10,6,6,18,14,2,-1,Stop
 1,11,0,1,1,0,1,5,5,4,9,6,11,14,6,10,5,5,17,14,2,-2,Stop
 2,11,0,0,1,1,1,5,4,5,9,6,11,14,7,10,5,4,17,13,2,-3,East
 3,11,0,0,1,1,1,4,4,4,9,6,10,14,6,8,3,4,16,12,2,-4,East
 4,11,0,0,1,1,1,4,4,3,9,6,10,14,6,7,3,3,15,11,2,-5,East
 5,11,0,1,1,1,1,3,4,4,9,6,9,14,6,9,3,3,14,10,2,-6,East
 6,11,0,1,1,1,1,2,4,5,9,6,10,14,6,11,3,1,13,9,2,-7,East
 6,10,1,1,0,1,1,2,4,5,10,5,1,14,6,10,1,-1,11,8,2,192,South
 6,9,1,1,1,1,1,2,5,5,11,5,1,14,7,8,3,-1,9,7,2,191,South
 5,9,1,1,1,1,1,2,5,6,11,5,1,13,7,7,3,-1,9,8,2,190,West
 5,10,1,1,1,0,1,3,5,6,10,5,1,13,8,7,1,-1,11,9,2,189,North
 5,11,0,1,1,1,1,4,5,6,10,5,1,14,8,7,2,-1,12,10,2,188,North
 6,11,0,1,1,1,1,5,5,6,9,5,1,14,8,7,2,-1,10,9,2,187,East
 7,11,0,0,1,1,1,6,5,7,9,5,1,13,8,7,2,-1,9,8,2,186,East
 8,11,0,0,1,1,1,6,5,7,9,5,1,13,8,8,3,-1,9,7,2,185,East
 7,11,0,0,1,1,1,6,4,6,9,5,1,13,7,8,3,-1,9,8,2,184,West
 6,11,0,1,1,1,1,5,4,6,9,5,1,12,7,8,2,-1,11,9,2,183,West
 6,10,1,1,0,1,1,6,4,6,9,5,1,13,7,6,1,-1,9,8,2,182,South
 6,9,1,1,1,1,1,6,3,3,1,5,1,13,8,6,-1,-1,9,7,2,381,South
 7,9,0,1,1,1,1,5,3,3,1,5,1,14,8,8,-1,-1,9,6,2,380,East
 8,9,0,1,1,1,1,5,4,3,1,5,1,14,7,8,-1,-1,9,5,2,379,East
 9,9,0,1,1,1,1,4,4,3,1,5,1,15,7,10,-1,-1,7,4,2,378,East
 10,9,1,1,1,1,1,4,3,3,1,5,1,14,7,12,-1,-1,5,3,2,377,East
 10,10,1,1,1,0,1,5,3,3,1,5,1,14,8,12,-1,-1,7,4,2,376,North
 10,11,0,1,1,1,1,4,3,3,1,5,1,15,8,14,-1,-1,7,5,2,375,North
 11,11,0,1,1,1,1,4,4,3,1,5,1,15,9,14,-1,-1,6,4,2,374,East
 11,10,1,1,0,1,1,4,5,3,1,5,1,15,9,12,-1,-1,5,3,2,373,South
 11,9,1,0,1,1,1,4,5,3,1,5,1,15,9,11,-1,-1,3,4,2,372,South
 12,9,0,1,1,1,1,5,5,3,1,5,1,14,9,11,-1,-1,1,3,2,371,East
 13,9,0,1,1,1,1,5,4,3,1,5,1,7,1,13,-1,-1,-1,2,2,570,East
 14,9,1,1,1,1,1,5,4,3,1,5,1,7,1,14,-1,-1,-1,1,2,569,East
 14,10,1,1,0,0,1,5,3,3,1,5,1,7,1,16,-1,-1,-1,8,1,668,North
 14,11,0,1,1,1,1,6,3,3,1,5,1,7,1,16,-1,-1,-1,9,1,667,North
 13,11,0,0,1,1,1,6,3,3,1,5,1,7,1,15,-1,-1,-1,8,1,666,West
 12,11,0,0,1,1,1,6,4,3,1,5,1,7,1,13,-1,-1,-1,7,1,665,West
 11,11,0,1,1,1,1,6,5,3,1,5,1,7,1,11,-1,-1,-1,6,1,664,West
 10,11,0,1,1,1,1,7,5,3,1,5,1,7,1,9,-1,-1,-1,5,1,663,West
 10,10,1,1,1,0,1,8,5,3,1,5,1,7,1,7,-1,-1,-1,4,1,662,South
 10,9,1,1,1,1,1,8,5,3,1,5,1,7,1,6,-1,-1,-1,3,1,661,South
 10,8,1,1,0,1,1,8,5,3,1,5,1,7,1,5,-1,-1,-1,2,1,660,South
 10,7,1,1,0,1,1,9,5,3,1,5,1,7,1,3,-1,-1,-1,1,1,659,South
 10,6,1,1,0,1,1,10,5,3,1,5,1,7,1,1,-1,-1,-1,-1,0,758,South
 1,11,0,1,1,0,1,6,5,6,9,8,11,14,6,11,7,7,18,14,2,0,Stop
 1,11,0,1,1,0,1,7,5,5,9,9,11,14,6,12,6,8,17,14,2,-1,Stop
 1,11,0,1,1,0,1,8,5,4,9,10,11,14,7,13,5,9,18,14,2,-2,Stop
 2,11,0,0,1,1,1,9,5,3,9,10,10,15,7,13,3,9,16,13,2,-3,East
 3,11,0,0,1,1,1,8,5,3,8,10,9,14,7,11,3,9,14,12,2,-4,East
 4,11,0,0,1,1,1,8,5,2,8,10,10,13,7,10,5,7,12,11,2,-5,East
 5,11,0,1,1,1,1,8,4,2,9,10,10,13,8,10,5,6,10,10,2,-6,East
 5,10,1,1,1,0,1,8,5,3,9,11,10,13,9,8,3,6,9,9,2,-7,South
 5,9,1,1,1,1,1,7,5,4,9,11,10,13,9,6,1,7,8,8,2,-8,South
 4,9,0,1,1,1,1,6,5,3,1,11,11,13,9,6,-1,9,10,9,2,191,West
 3,9,0,1,1,1,1,5,5,3,1,11,10,14,9,6,-1,9,11,10,2,190,West
 3,8,1,1,1,1,1,5,5,3,1,11,11,14,9,5,-1,11,11,9,2,189,South
 4,8,1,1,1,1,1,6,5,3,1,10,11,13,9,5,-1,9,9,8,2,188,East
