@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R19-22,27-weka.filters.unsupervised.attribute.Remove-R3-6'

@attribute PacX numeric
@attribute PacY numeric
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute NextScore numeric

@data
6,6,1,1,3,1,13,6,7,1,-1,-1,7,-1,15,1,576,575
7,6,1,1,3,1,13,6,7,1,-1,-1,6,-1,14,1,575,574
8,6,1,1,3,1,13,6,7,1,-1,-1,5,-1,13,1,574,573
9,6,1,1,3,1,13,6,7,1,-1,-1,4,-1,12,1,573,572
10,6,1,1,3,1,13,6,7,1,-1,-1,3,-1,11,1,572,571
11,6,1,1,3,1,13,6,7,1,-1,-1,2,-1,10,1,571,570
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,0,-1
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,-1,-2
13,10,5,6,5,12,13,6,13,12,12,10,4,2,6,1,-2,-3
13,11,5,6,5,12,13,6,13,12,13,9,5,1,7,1,-3,196
13,12,5,6,5,12,13,6,7,1,14,8,6,-1,8,1,196,195
13,11,5,6,5,12,13,6,7,1,13,9,5,-1,7,1,195,194
13,10,5,6,5,12,13,6,7,1,12,10,4,-1,6,1,194,193
14,10,5,6,5,12,13,6,7,1,13,11,5,-1,5,1,193,192
15,10,5,6,5,12,13,6,7,1,14,12,6,-1,4,1,192,191
15,9,5,6,5,12,13,6,7,1,13,13,5,-1,3,1,191,190
16,9,5,6,5,12,13,6,7,1,14,14,6,-1,2,1,190,189
17,9,5,6,5,12,13,6,7,1,15,15,7,-1,1,1,189,288
18,9,5,6,5,12,13,6,7,1,16,16,8,-1,-1,0,288,287
18,10,5,6,5,12,13,6,7,1,17,15,9,-1,-1,0,287,286
18,11,5,6,5,12,13,6,7,1,18,14,10,-1,-1,0,286,285
18,10,5,6,5,12,13,6,7,1,17,15,9,-1,-1,0,285,284
17,10,5,6,5,12,13,6,7,1,16,14,8,-1,-1,0,284,283
17,9,5,6,5,12,13,6,7,1,15,15,7,-1,-1,0,283,282
17,8,5,6,5,12,13,6,7,1,14,16,6,-1,-1,0,282,281
17,7,5,6,5,12,13,6,7,1,13,17,5,-1,-1,0,281,280
17,6,5,6,5,12,13,6,7,1,12,18,4,-1,-1,0,280,279
17,5,5,6,5,12,13,6,7,1,13,19,5,-1,-1,0,279,278
16,5,5,6,5,12,13,6,7,1,12,18,4,-1,-1,0,278,277
16,6,5,6,5,12,13,6,7,1,11,17,3,-1,-1,0,277,276
15,6,5,6,5,12,13,6,7,1,10,16,2,-1,-1,0,276,275
15,5,5,6,5,12,13,6,7,1,11,17,3,-1,-1,0,275,274
15,4,5,6,5,12,13,6,7,1,12,18,4,-1,-1,0,274,273
15,3,5,6,5,12,13,6,7,1,13,19,5,-1,-1,0,273,272
15,4,5,6,5,12,13,6,7,1,12,18,4,-1,-1,0,272,271
15,5,5,6,5,12,13,6,7,1,11,17,3,-1,-1,0,271,270
15,6,5,6,5,12,13,6,7,1,10,16,2,-1,-1,0,270,269
14,6,5,6,5,12,13,6,7,1,9,15,1,-1,-1,0,269,268
14,7,5,6,5,12,13,6,7,1,10,14,2,-1,-1,0,268,267
14,6,5,6,5,12,13,6,7,1,9,15,1,-1,-1,0,267,266
14,5,5,6,5,12,13,6,7,1,10,16,2,-1,-1,0,266,265
13,5,5,6,5,12,13,6,7,1,9,15,1,-1,-1,0,265,264
12,5,5,6,5,12,13,6,7,1,8,14,2,-1,-1,0,264,263
12,6,5,6,5,12,13,6,7,1,7,13,1,-1,-1,0,263,462
13,6,5,6,5,12,5,1,7,1,8,14,-1,-1,-1,0,462,461
13,5,5,6,5,12,5,1,7,1,9,15,-1,-1,-1,0,461,460
13,4,5,6,5,12,5,1,7,1,10,16,-1,-1,-1,0,460,459
13,5,5,6,5,12,5,1,7,1,9,15,-1,-1,-1,0,459,458
13,6,5,6,5,12,5,1,7,1,8,14,-1,-1,-1,0,458,457
13,5,5,6,5,12,5,1,7,1,9,15,-1,-1,-1,0,457,456
13,4,5,6,5,12,5,1,7,1,10,16,-1,-1,-1,0,456,455
13,5,5,6,5,12,5,1,7,1,9,15,-1,-1,-1,0,455,454
12,5,5,6,5,12,5,1,7,1,8,14,-1,-1,-1,0,454,453
11,5,5,6,5,12,5,1,7,1,7,13,-1,-1,-1,0,453,452
12,5,5,6,5,12,5,1,7,1,8,14,-1,-1,-1,0,452,451
13,5,5,6,5,12,5,1,7,1,9,15,-1,-1,-1,0,451,450
12,5,5,6,5,12,5,1,7,1,8,14,-1,-1,-1,0,450,449
11,5,5,6,5,12,5,1,7,1,7,13,-1,-1,-1,0,449,448
12,5,5,6,5,12,5,1,7,1,8,14,-1,-1,-1,0,448,447
13,5,5,6,5,12,5,1,7,1,9,15,-1,-1,-1,0,447,446
12,5,5,6,5,12,5,1,7,1,8,14,-1,-1,-1,0,446,445
11,5,5,6,5,12,5,1,7,1,7,13,-1,-1,-1,0,445,444
10,5,5,6,5,12,5,1,7,1,6,12,-1,-1,-1,0,444,443
9,5,5,6,5,12,5,1,7,1,5,11,-1,-1,-1,0,443,442
8,5,5,6,5,12,5,1,7,1,4,10,-1,-1,-1,0,442,441
8,6,5,6,5,12,5,1,7,1,3,9,-1,-1,-1,0,441,440
9,6,5,6,5,12,5,1,7,1,4,10,-1,-1,-1,0,440,439
9,5,5,6,5,12,5,1,7,1,5,11,-1,-1,-1,0,439,438
8,5,5,6,5,12,5,1,7,1,4,10,-1,-1,-1,0,438,437
7,5,5,6,5,12,5,1,7,1,3,9,-1,-1,-1,0,437,436
6,5,5,6,5,12,5,1,7,1,2,8,-1,-1,-1,0,436,435
6,4,5,6,5,12,5,1,7,1,3,9,-1,-1,-1,0,435,434
5,4,5,6,5,12,5,1,7,1,2,8,-1,-1,-1,0,434,433
4,4,5,6,5,12,5,1,7,1,3,9,-1,-1,-1,0,433,432
4,5,5,6,5,12,5,1,7,1,2,8,-1,-1,-1,0,432,431
5,5,5,6,5,12,5,1,7,1,1,7,-1,-1,-1,0,431,430
6,5,5,6,5,12,5,1,7,1,2,8,-1,-1,-1,0,430,429
6,6,5,6,5,12,5,1,7,1,1,7,-1,-1,-1,0,429,628
5,6,1,1,5,12,5,1,7,1,-1,6,-1,-1,-1,0,628,627
4,6,1,1,5,12,5,1,7,1,-1,7,-1,-1,-1,0,627,626
4,5,1,1,5,12,5,1,7,1,-1,8,-1,-1,-1,0,626,625
4,4,1,1,5,12,5,1,7,1,-1,9,-1,-1,-1,0,625,624
4,3,1,1,5,12,5,1,7,1,-1,10,-1,-1,-1,0,624,623
3,3,1,1,5,12,5,1,7,1,-1,11,-1,-1,-1,0,623,622
2,3,1,1,5,12,5,1,7,1,-1,12,-1,-1,-1,0,622,621
1,3,1,1,5,12,5,1,7,1,-1,13,-1,-1,-1,0,621,620
1,4,1,1,5,12,5,1,7,1,-1,12,-1,-1,-1,0,620,619
1,5,1,1,5,12,5,1,7,1,-1,11,-1,-1,-1,0,619,618
1,6,1,1,5,12,5,1,7,1,-1,10,-1,-1,-1,0,618,617
1,7,1,1,5,12,5,1,7,1,-1,9,-1,-1,-1,0,617,616
1,8,1,1,5,12,5,1,7,1,-1,8,-1,-1,-1,0,616,615
1,9,1,1,5,12,5,1,7,1,-1,7,-1,-1,-1,0,615,614
2,9,1,1,5,12,5,1,7,1,-1,6,-1,-1,-1,0,614,613
3,9,1,1,5,12,5,1,7,1,-1,5,-1,-1,-1,0,613,612
4,9,1,1,5,12,5,1,7,1,-1,4,-1,-1,-1,0,612,611
5,9,1,1,5,12,5,1,7,1,-1,3,-1,-1,-1,0,611,610
6,9,1,1,5,12,5,1,7,1,-1,4,-1,-1,-1,0,610,609
7,9,1,1,5,12,5,1,7,1,-1,5,-1,-1,-1,0,609,608
7,10,1,1,5,12,5,1,7,1,-1,4,-1,-1,-1,0,608,607
7,11,1,1,5,12,5,1,7,1,-1,3,-1,-1,-1,0,607,606
6,11,1,1,5,12,5,1,7,1,-1,2,-1,-1,-1,0,606,605
5,11,1,1,5,12,5,1,7,1,-1,1,-1,-1,-1,0,605,604
4,11,1,1,5,12,5,1,7,1,-1,2,-1,-1,-1,0,604,603
3,11,1,1,5,12,5,1,7,1,-1,3,-1,-1,-1,0,603,602
2,11,1,1,5,12,5,1,7,1,-1,4,-1,-1,-1,0,602,601
1,11,1,1,5,12,5,1,7,1,-1,5,-1,-1,-1,0,601,600
1,11,1,1,5,12,5,1,7,1,-1,5,-1,-1,-1,0,600,599
1,12,1,1,5,12,5,1,7,1,-1,4,-1,-1,-1,0,599,598
1,13,1,1,5,12,5,1,7,1,-1,5,-1,-1,-1,0,598,597
2,13,1,1,5,12,5,1,7,1,-1,4,-1,-1,-1,0,597,596
3,13,1,1,5,12,5,1,7,1,-1,3,-1,-1,-1,0,596,595
4,13,1,1,5,12,5,1,7,1,-1,2,-1,-1,-1,0,595,594
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,0,-1
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,-1,-2
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,-2,-3
13,10,5,6,5,12,13,6,13,12,12,10,4,2,6,1,-3,-4
13,11,5,6,5,12,13,6,13,12,13,9,5,1,7,1,-4,195
13,12,5,6,5,12,13,6,7,1,14,8,6,-1,8,1,195,194
12,12,5,6,5,12,13,6,7,1,13,7,7,-1,9,1,194,193
11,12,5,6,5,12,13,6,7,1,12,6,8,-1,10,1,193,192
10,12,5,6,5,12,13,6,7,1,11,5,9,-1,11,1,192,191
10,11,5,6,5,12,13,6,7,1,10,6,8,-1,10,1,191,190
10,10,5,6,5,12,13,6,7,1,9,7,7,-1,9,1,190,189
11,10,5,6,5,12,13,6,7,1,10,8,6,-1,8,1,189,188
12,10,5,6,5,12,13,6,7,1,11,9,5,-1,7,1,188,187
13,10,5,6,5,12,13,6,7,1,12,10,4,-1,6,1,187,186
13,9,5,6,5,12,13,6,7,1,11,11,3,-1,5,1,186,185
14,9,5,6,5,12,13,6,7,1,12,12,4,-1,4,1,185,184
15,9,5,6,5,12,13,6,7,1,13,13,5,-1,3,1,184,183
16,9,5,6,5,12,13,6,7,1,14,14,6,-1,2,1,183,182
17,9,5,6,5,12,13,6,7,1,15,15,7,-1,1,1,182,281
18,9,5,6,5,12,13,6,7,1,16,16,8,-1,-1,0,281,280
18,10,5,6,5,12,13,6,7,1,17,15,9,-1,-1,0,280,279
18,11,5,6,5,12,13,6,7,1,18,14,10,-1,-1,0,279,278
18,12,5,6,5,12,13,6,7,1,19,13,11,-1,-1,0,278,277
18,13,5,6,5,12,13,6,7,1,20,14,12,-1,-1,0,277,276
18,14,5,6,5,12,13,6,7,1,21,15,13,-1,-1,0,276,275
18,14,5,6,5,12,13,6,7,1,21,15,13,-1,-1,0,275,274
17,14,5,6,5,12,13,6,7,1,20,14,12,-1,-1,0,274,273
16,14,5,6,5,12,13,6,7,1,19,13,11,-1,-1,0,273,272
16,13,5,6,5,12,13,6,7,1,18,12,10,-1,-1,0,272,271
16,12,5,6,5,12,13,6,7,1,17,11,9,-1,-1,0,271,270
16,11,5,6,5,12,13,6,7,1,16,12,8,-1,-1,0,270,269
17,11,5,6,5,12,13,6,7,1,17,13,9,-1,-1,0,269,268
18,11,5,6,5,12,13,6,7,1,18,14,10,-1,-1,0,268,267
18,10,5,6,5,12,13,6,7,1,17,15,9,-1,-1,0,267,266
18,9,5,6,5,12,13,6,7,1,16,16,8,-1,-1,0,266,265
18,8,5,6,5,12,13,6,7,1,15,17,7,-1,-1,0,265,264
18,7,5,6,5,12,13,6,7,1,14,18,6,-1,-1,0,264,263
18,6,5,6,5,12,13,6,7,1,13,19,5,-1,-1,0,263,262
18,5,5,6,5,12,13,6,7,1,14,20,6,-1,-1,0,262,261
18,4,5,6,5,12,13,6,7,1,15,21,7,-1,-1,0,261,260
18,3,5,6,5,12,13,6,7,1,16,22,8,-1,-1,0,260,259
17,3,5,6,5,12,13,6,7,1,15,21,7,-1,-1,0,259,258
16,3,5,6,5,12,13,6,7,1,14,20,6,-1,-1,0,258,257
15,3,5,6,5,12,13,6,7,1,13,19,5,-1,-1,0,257,256
14,3,5,6,5,12,13,6,7,1,12,18,4,-1,-1,0,256,255
13,3,5,6,5,12,13,6,7,1,11,17,3,-1,-1,0,255,254
13,4,5,6,5,12,13,6,7,1,10,16,2,-1,-1,0,254,253
13,5,5,6,5,12,13,6,7,1,9,15,1,-1,-1,0,253,252
14,5,5,6,5,12,13,6,7,1,10,16,2,-1,-1,0,252,251
15,5,5,6,5,12,13,6,7,1,11,17,3,-1,-1,0,251,250
14,5,5,6,5,12,13,6,7,1,10,16,2,-1,-1,0,250,249
13,5,5,6,5,12,13,6,7,1,9,15,1,-1,-1,0,249,448
13,6,5,6,5,12,5,1,7,1,8,14,-1,-1,-1,0,448,447
13,7,5,6,5,12,5,1,7,1,9,13,-1,-1,-1,0,447,446
12,7,5,6,5,12,5,1,7,1,8,12,-1,-1,-1,0,446,445
11,7,5,6,5,12,5,1,7,1,7,11,-1,-1,-1,0,445,444
10,7,5,6,5,12,5,1,7,1,6,10,-1,-1,-1,0,444,443
9,7,5,6,5,12,5,1,7,1,5,9,-1,-1,-1,0,443,442
9,6,5,6,5,12,5,1,7,1,4,10,-1,-1,-1,0,442,441
9,5,5,6,5,12,5,1,7,1,5,11,-1,-1,-1,0,441,440
8,5,5,6,5,12,5,1,7,1,4,10,-1,-1,-1,0,440,439
7,5,5,6,5,12,5,1,7,1,3,9,-1,-1,-1,0,439,438
6,5,5,6,5,12,5,1,7,1,2,8,-1,-1,-1,0,438,437
5,5,5,6,5,12,5,1,7,1,1,7,-1,-1,-1,0,437,636
5,6,1,1,5,12,5,1,7,1,-1,6,-1,-1,-1,0,636,635
5,7,1,1,5,12,5,1,7,1,-1,5,-1,-1,-1,0,635,634
5,8,1,1,5,12,5,1,7,1,-1,4,-1,-1,-1,0,634,633
5,9,1,1,5,12,5,1,7,1,-1,3,-1,-1,-1,0,633,632
5,9,1,1,5,12,5,1,7,1,-1,3,-1,-1,-1,0,632,631
6,9,1,1,5,12,5,1,7,1,-1,4,-1,-1,-1,0,631,630
6,10,1,1,5,12,5,1,7,1,-1,3,-1,-1,-1,0,630,629
6,11,1,1,5,12,5,1,7,1,-1,2,-1,-1,-1,0,629,628
5,11,1,1,5,12,5,1,7,1,-1,1,-1,-1,-1,0,628,627
4,11,1,1,5,12,5,1,7,1,-1,2,-1,-1,-1,0,627,626
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,0,-1
12,10,5,5,4,12,14,6,13,12,12,10,6,3,7,1,-1,-2
12,10,6,5,4,11,13,6,13,12,11,9,5,3,7,1,-2,-3
13,10,6,4,5,11,13,6,13,12,13,9,4,1,6,1,-3,-4
14,10,6,3,5,11,14,6,13,11,15,10,4,3,5,1,-4,-5
14,11,6,3,5,11,13,6,12,11,16,9,6,3,6,1,-5,-6
13,11,6,4,5,12,14,6,11,11,14,9,6,3,7,1,-6,-7
12,11,7,4,4,12,14,5,10,11,12,9,8,1,8,1,-7,192
11,11,7,3,4,13,14,4,7,1,12,9,10,-1,9,1,192,191
10,11,8,3,4,14,14,5,7,1,10,9,10,-1,10,1,191,190
9,11,9,3,4,13,13,5,7,1,8,7,10,-1,11,1,190,189
8,11,8,3,3,13,13,4,7,1,8,7,12,-1,12,1,189,188
7,11,8,4,2,13,13,3,7,1,8,7,14,-1,13,1,188,187
7,12,9,4,3,13,13,3,7,1,10,5,15,-1,14,1,187,186
7,13,10,4,3,13,12,3,7,1,12,4,15,-1,15,1,186,185
6,13,10,5,3,14,11,3,7,1,12,4,15,-1,16,1,185,184
5,13,11,5,4,14,12,3,7,1,14,2,17,-1,17,1,184,383
4,13,12,5,3,1,12,4,7,1,16,-1,17,-1,18,1,383,382
3,13,11,5,3,1,12,3,7,1,16,-1,19,-1,19,1,382,381
3,14,11,6,3,1,12,3,7,1,16,-1,20,-1,20,1,381,380
3,14,11,7,3,1,12,4,7,1,15,-1,19,-1,20,1,380,379
4,14,11,6,3,1,13,4,7,1,15,-1,19,-1,19,1,379,378
4,13,11,5,3,1,14,4,7,1,15,-1,19,-1,18,1,378,377
4,12,11,6,3,1,14,5,7,1,13,-1,17,-1,17,1,377,376
5,12,12,6,3,1,14,5,7,1,13,-1,16,-1,16,1,376,375
6,12,12,5,3,1,13,5,7,1,13,-1,14,-1,15,1,375,374
6,11,12,6,3,1,14,5,7,1,11,-1,14,-1,14,1,374,373
6,10,11,6,3,1,13,5,7,1,9,-1,12,-1,13,1,373,372
6,9,12,6,3,1,13,4,7,1,9,-1,12,-1,12,1,372,371
6,8,12,6,3,1,13,5,7,1,8,-1,10,-1,13,1,371,370
6,7,12,5,3,1,14,5,7,1,8,-1,10,-1,14,1,370,369
7,7,11,5,3,1,13,5,7,1,6,-1,8,-1,13,1,369,368
8,7,12,5,3,1,13,6,7,1,6,-1,6,-1,12,1,368,367
9,7,12,6,3,1,13,6,7,1,4,-1,5,-1,11,1,367,366
9,6,13,6,3,1,14,6,7,1,4,-1,5,-1,12,1,366,365
10,6,14,6,3,1,14,7,7,1,4,-1,5,-1,11,1,365,364
11,6,14,7,3,1,15,7,7,1,4,-1,5,-1,10,1,364,363
12,6,13,7,3,1,15,7,7,1,2,-1,4,-1,9,1,363,562
13,6,1,1,3,1,16,7,7,1,-1,-1,4,-1,8,1,562,561
14,6,1,1,3,1,17,7,7,1,-1,-1,4,-1,7,1,561,560
15,6,1,1,3,1,17,7,7,1,-1,-1,3,-1,6,1,560,559
12,10,5,6,5,12,13,6,13,12,11,9,5,3,7,1,0,-1
12,10,6,6,4,12,13,6,13,12,10,10,5,2,7,1,-1,-2
12,10,6,7,5,12,14,6,13,11,9,9,6,1,7,1,-2,-3
12,10,7,7,5,13,15,6,13,10,8,10,7,2,7,1,-3,-4
12,10,7,8,6,13,15,6,13,11,7,9,7,1,7,1,-4,-5
12,10,6,8,6,12,14,6,13,10,8,8,6,1,7,1,-5,194
12,10,6,9,5,12,14,5,13,10,7,9,7,-1,7,1,194,193
13,10,6,9,4,12,15,5,7,1,8,11,7,-1,6,1,193,192
14,10,6,9,5,12,15,6,7,1,9,11,5,-1,5,1,192,191
13,10,6,9,4,12,16,6,7,1,8,11,7,-1,6,1,191,190
13,9,7,9,4,13,16,5,7,1,6,13,7,-1,5,1,190,189
13,8,8,9,3,13,16,6,7,1,6,15,5,-1,6,1,189,188
14,8,9,9,3,12,16,6,7,1,6,15,4,-1,5,1,188,187
15,8,9,8,3,12,16,5,7,1,6,16,4,-1,4,1,187,186
16,8,10,8,3,11,16,4,7,1,6,16,4,-1,3,1,186,185
16,7,10,7,2,11,16,5,7,1,6,18,2,-1,4,1,185,184
16,6,9,7,3,11,16,4,7,1,8,18,2,-1,5,1,184,383
16,5,8,7,2,11,5,1,7,1,10,20,-1,-1,6,1,383,382
17,5,7,7,2,11,5,1,7,1,12,21,-1,-1,5,1,382,381
18,5,6,7,2,12,5,1,7,1,14,23,-1,-1,4,1,381,380
18,6,7,7,2,12,5,1,7,1,12,22,-1,-1,3,1,380,379
18,7,6,7,2,12,5,1,7,1,12,21,-1,-1,2,1,379,378
18,8,6,6,2,11,5,1,7,1,14,19,-1,-1,1,1,378,477
18,9,6,6,3,11,5,1,7,1,15,17,-1,-1,-1,0,477,476
17,9,5,6,3,12,5,1,7,1,15,17,-1,-1,-1,0,476,475
16,9,5,6,3,12,5,1,7,1,14,16,-1,-1,-1,0,475,474
16,8,5,6,4,12,5,1,7,1,13,16,-1,-1,-1,0,474,473
16,7,5,5,4,11,5,1,7,1,13,16,-1,-1,-1,0,473,472
15,7,5,5,5,11,5,1,7,1,12,14,-1,-1,-1,0,472,471
14,7,6,5,5,11,5,1,7,1,10,13,-1,-1,-1,0,471,470
13,7,5,5,5,12,5,1,7,1,10,13,-1,-1,-1,0,470,469
12,7,5,6,5,11,5,1,7,1,8,11,-1,-1,-1,0,469,468
12,6,5,5,6,11,5,1,7,1,8,11,-1,-1,-1,0,468,467
11,6,6,5,6,11,5,1,7,1,6,10,-1,-1,-1,0,467,466
10,6,6,5,6,10,5,1,7,1,5,8,-1,-1,-1,0,466,465
9,6,6,5,6,9,5,1,7,1,4,6,-1,-1,-1,0,465,464
8,6,5,5,5,9,5,1,7,1,4,6,-1,-1,-1,0,464,463
7,6,5,4,5,9,5,1,7,1,4,5,-1,-1,-1,0,463,462
6,6,6,4,5,9,5,1,7,1,2,4,-1,-1,-1,0,462,461
5,6,6,4,5,9,5,1,7,1,3,3,-1,-1,-1,0,461,460
5,5,6,5,5,8,5,1,7,1,1,3,-1,-1,-1,0,460,659
6,5,1,1,6,8,5,1,7,1,-1,3,-1,-1,-1,0,659,658
7,5,1,1,5,8,5,1,7,1,-1,5,-1,-1,-1,0,658,657
7,6,1,1,4,8,5,1,7,1,-1,5,-1,-1,-1,0,657,656
7,7,1,1,4,8,5,1,7,1,-1,4,-1,-1,-1,0,656,655
7,8,1,1,5,8,5,1,7,1,-1,2,-1,-1,-1,0,655,654
7,9,1,1,5,7,5,1,7,1,-1,4,-1,-1,-1,0,654,653
7,10,1,1,6,7,5,1,7,1,-1,4,-1,-1,-1,0,653,652
6,10,1,1,5,7,5,1,7,1,-1,4,-1,-1,-1,0,652,651
6,10,1,1,4,7,5,1,7,1,-1,5,-1,-1,-1,0,651,650
6,11,1,1,5,7,5,1,7,1,-1,5,-1,-1,-1,0,650,649
6,12,1,1,5,6,5,1,7,1,-1,7,-1,-1,-1,0,649,648
5,12,1,1,5,7,5,1,7,1,-1,5,-1,-1,-1,0,648,647
5,11,1,1,6,7,5,1,7,1,-1,5,-1,-1,-1,0,647,646
5,11,1,1,6,6,5,1,7,1,-1,6,-1,-1,-1,0,646,645
4,11,1,1,6,6,5,1,7,1,-1,7,-1,-1,-1,0,645,644
3,11,1,1,6,5,5,1,7,1,-1,9,-1,-1,-1,0,644,643
2,11,1,1,5,5,5,1,7,1,-1,9,-1,-1,-1,0,643,642
1,11,1,1,5,5,5,1,7,1,-1,10,-1,-1,-1,0,642,641
1,12,1,1,5,6,5,1,7,1,-1,10,-1,-1,-1,0,641,640
1,13,1,1,6,6,5,1,7,1,-1,12,-1,-1,-1,0,640,639
1,14,1,1,6,6,5,1,7,1,-1,13,-1,-1,-1,0,639,638
2,14,1,1,6,6,5,1,7,1,-1,12,-1,-1,-1,0,638,637
3,14,1,1,6,6,5,1,7,1,-1,11,-1,-1,-1,0,637,636
4,14,1,1,5,6,5,1,7,1,-1,9,-1,-1,-1,0,636,635
5,14,1,1,5,5,5,1,7,1,-1,9,-1,-1,-1,0,635,634
6,14,1,1,6,5,5,1,7,1,-1,9,-1,-1,-1,0,634,633
6,13,1,1,7,5,5,1,7,1,-1,9,-1,-1,-1,0,633,632
6,12,1,1,7,6,5,1,7,1,-1,7,-1,-1,-1,0,632,631
6,11,1,1,7,5,5,1,7,1,-1,7,-1,-1,-1,0,631,630
6,10,1,1,6,5,5,1,7,1,-1,5,-1,-1,-1,0,630,629
6,9,1,1,6,6,5,1,7,1,-1,3,-1,-1,-1,0,629,628
5,9,1,1,7,6,5,1,7,1,-1,5,-1,-1,-1,0,628,627
4,9,1,1,7,7,5,1,7,1,-1,5,-1,-1,-1,0,627,626
3,9,1,1,6,7,5,1,7,1,-1,5,-1,-1,-1,0,626,625
2,9,1,1,6,8,5,1,7,1,-1,5,-1,-1,-1,0,625,624
1,9,1,1,5,8,5,1,7,1,-1,5,-1,-1,-1,0,624,623
1,8,1,1,5,9,5,1,7,1,-1,5,-1,-1,-1,0,623,622
1,7,1,1,5,9,5,1,7,1,-1,6,-1,-1,-1,0,622,621
1,6,1,1,4,9,5,1,7,1,-1,6,-1,-1,-1,0,621,620
1,5,1,1,4,8,5,1,7,1,-1,6,-1,-1,-1,0,620,619
1,4,1,1,5,8,5,1,7,1,-1,8,-1,-1,-1,0,619,618
2,4,1,1,5,8,5,1,7,1,-1,7,-1,-1,-1,0,618,617
3,4,1,1,5,8,5,1,7,1,-1,6,-1,-1,-1,0,617,616
4,4,1,1,6,8,5,1,7,1,-1,6,-1,-1,-1,0,616,615
4,3,1,1,5,8,5,1,7,1,-1,6,-1,-1,-1,0,615,614
4,3,1,1,5,8,5,1,7,1,-1,6,-1,-1,-1,0,614,613
5,3,1,1,5,7,5,1,7,1,-1,4,-1,-1,-1,0,613,612
6,3,1,1,4,7,5,1,7,1,-1,6,-1,-1,-1,0,612,611
7,3,1,1,4,6,5,1,7,1,-1,6,-1,-1,-1,0,611,610
7,4,1,1,3,6,5,1,7,1,-1,6,-1,-1,-1,0,610,609
7,5,1,1,4,6,5,1,7,1,-1,4,-1,-1,-1,0,609,608
7,6,1,1,4,5,5,1,7,1,-1,4,-1,-1,-1,0,608,607
7,7,1,1,5,5,5,1,7,1,-1,4,-1,-1,-1,0,607,606
7,8,1,1,5,6,5,1,7,1,-1,4,-1,-1,-1,0,606,605
