@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Reorder-R1-25,27,26'

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute NearestFoodDist numeric
@attribute NumOfFood numeric
@attribute Score numeric
@attribute Direction {North,South,East,West,Stop}
@attribute NextScore numeric

@data
13,9,1,1,1,1,4,6,6,11,13,7,14,12,12,9,2,3,West,South,East,North,5,1,-2,East,-3
13,8,1,1,1,1,3,6,6,10,14,7,14,11,12,9,2,5,North,South,West,North,6,1,-3,West,-4
14,8,1,1,1,1,3,7,6,9,13,7,14,12,12,9,2,5,South,East,West,West,5,1,-4,West,-5
13,8,1,1,1,1,3,6,7,9,12,7,14,13,12,7,2,5,West,North,South,West,6,1,-5,South,-6
12,8,1,1,1,1,2,6,7,10,12,6,13,13,12,7,2,5,West,North,West,West,7,1,-6,West,-7
12,7,1,1,1,1,2,6,7,10,11,6,12,13,11,8,2,6,North,West,West,South,8,1,-7,West,-8
11,7,1,1,1,1,2,7,6,10,10,6,12,13,9,8,2,6,North,South,Stop,South,9,1,-8,West,191
10,7,1,1,1,1,2,7,6,9,5,1,12,12,8,6,-1,7,North,South,Stop,South,10,1,191,West,190
9,7,1,1,1,1,2,8,6,8,5,1,12,12,8,4,-1,8,West,South,Stop,South,11,1,190,West,189
8,7,1,1,1,1,1,8,6,8,5,1,12,12,8,3,-1,9,East,North,Stop,South,12,1,189,West,188
7,7,1,1,1,1,2,8,6,9,5,1,12,12,6,3,-1,9,East,South,Stop,West,13,1,188,West,187
6,7,1,1,1,1,2,8,6,8,5,1,12,11,5,1,-1,9,East,South,Stop,West,14,1,187,West,186
5,7,1,1,1,1,3,8,6,7,5,1,11,11,3,1,-1,9,Stop,North,Stop,North,15,1,186,West,185
4,7,1,1,1,1,3,7,6,8,5,1,10,11,1,3,-1,11,Stop,North,Stop,North,16,1,185,East,384
3,7,1,1,1,1,1,1,6,9,5,1,10,12,-1,5,-1,13,Stop,North,Stop,East,17,1,384,East,383
4,7,1,1,1,1,1,1,6,9,5,1,10,13,-1,4,-1,13,Stop,North,Stop,East,16,1,383,East,382
5,7,1,1,1,1,1,1,6,10,5,1,11,13,-1,4,-1,12,Stop,North,Stop,South,15,1,382,North,381
6,7,1,1,1,1,1,1,6,11,5,1,11,13,-1,4,-1,10,Stop,North,Stop,North,14,1,381,North,380
6,8,1,1,1,1,1,1,6,12,5,1,11,12,-1,4,-1,10,Stop,North,Stop,South,13,1,380,North,379
6,9,1,1,1,1,1,1,6,13,5,1,11,13,-1,4,-1,8,Stop,North,Stop,South,12,1,379,North,378
6,10,1,1,1,0,1,1,6,14,5,1,11,12,-1,4,-1,6,Stop,North,Stop,South,13,1,378,North,377
6,11,1,1,1,1,1,1,6,14,5,1,11,11,-1,3,-1,5,Stop,Stop,Stop,West,14,1,377,North,376
6,12,1,1,1,1,1,1,6,13,5,1,11,11,-1,1,-1,5,Stop,Stop,Stop,North,15,1,376,East,575
6,13,1,1,1,1,1,1,3,1,5,1,10,11,-1,-1,-1,5,Stop,Stop,Stop,North,16,1,575,East,574
7,13,1,1,1,1,1,1,3,1,5,1,10,12,-1,-1,-1,3,Stop,Stop,Stop,Stop,15,1,574,East,573
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,West,East,Stop,7,1,0,North,-1
13,10,1,1,1,1,5,6,4,12,14,6,13,12,12,11,5,2,South,West,North,Stop,6,1,-1,North,-2
13,11,1,1,1,1,5,5,3,12,14,7,13,12,14,11,5,1,South,North,North,Stop,7,1,-2,West,197
13,12,1,1,1,1,5,5,3,13,14,8,7,1,15,11,5,-1,West,North,East,Stop,8,1,197,West,196
12,12,1,1,1,1,4,5,3,13,15,8,7,1,15,10,7,-1,East,North,West,Stop,9,1,196,West,195
11,12,1,1,1,1,5,5,3,14,14,8,7,1,13,10,7,-1,South,North,North,Stop,10,1,195,West,194
10,12,1,1,1,1,5,4,3,14,14,9,7,1,13,9,7,-1,East,South,South,Stop,11,1,194,West,193
9,12,1,1,1,1,6,4,3,13,14,8,7,1,11,7,9,-1,East,West,North,Stop,12,1,193,West,192
8,12,1,1,1,1,6,4,2,13,14,9,7,1,10,7,9,-1,West,West,East,Stop,13,1,192,West,191
7,12,1,1,1,1,5,4,1,13,15,9,7,1,10,7,11,-1,West,West,East,Stop,14,1,191,West,190
6,12,1,1,1,1,4,4,1,13,15,9,7,1,10,6,12,-1,East,East,West,Stop,15,1,190,West,189
5,12,1,1,1,1,5,4,2,13,14,9,7,1,8,4,12,-1,East,West,South,Stop,16,1,189,West,188
4,12,1,1,1,1,6,4,1,13,14,8,7,1,10,4,14,-1,North,East,North,Stop,17,1,188,West,187
3,12,1,1,1,1,6,5,2,13,14,9,7,1,10,2,14,-1,North,West,South,Stop,18,1,187,West,186
2,12,1,1,1,1,6,6,1,13,14,8,7,1,10,2,16,-1,East,North,East,Stop,19,1,186,North,185
1,12,1,1,1,0,7,6,1,14,15,8,7,1,12,2,18,-1,East,Stop,East,Stop,20,1,185,East,384
1,13,1,1,1,0,7,6,3,1,15,8,7,1,13,-1,19,-1,East,Stop,East,Stop,21,1,384,East,383
2,13,1,1,1,1,7,6,3,1,16,8,7,1,12,-1,19,-1,East,Stop,West,Stop,20,1,383,East,382
3,13,1,1,1,1,8,6,3,1,15,8,7,1,12,-1,17,-1,East,Stop,West,Stop,19,1,382,East,381
4,13,1,1,1,1,9,6,3,1,15,8,7,1,12,-1,16,-1,East,Stop,West,Stop,18,1,381,East,380
5,13,1,1,1,1,9,6,3,1,15,8,7,1,11,-1,15,-1,East,Stop,North,Stop,17,1,380,East,379
6,13,1,1,1,1,10,6,3,1,15,9,7,1,11,-1,13,-1,East,Stop,North,Stop,16,1,379,East,378
7,13,1,1,1,1,11,6,3,1,15,9,7,1,11,-1,12,-1,East,Stop,West,Stop,15,1,378,East,377
8,13,1,1,1,1,11,6,3,1,14,9,7,1,10,-1,10,-1,South,Stop,North,Stop,14,1,377,East,376
9,13,1,1,1,1,11,5,3,1,14,10,7,1,10,-1,8,-1,East,Stop,North,Stop,13,1,376,East,375
10,13,1,1,1,1,12,5,3,1,14,11,7,1,10,-1,6,-1,North,Stop,North,Stop,12,1,375,East,374
11,13,1,1,1,1,12,6,3,1,14,12,7,1,8,-1,4,-1,East,Stop,East,Stop,11,1,374,East,373
12,13,1,1,1,1,13,6,3,1,15,12,7,1,8,-1,4,-1,East,Stop,North,Stop,10,1,373,East,372
13,13,1,1,1,1,14,6,3,1,15,13,7,1,8,-1,2,-1,West,Stop,North,Stop,9,1,372,West,371
14,13,1,1,1,1,13,6,3,1,15,14,7,1,8,-1,2,-1,East,Stop,South,Stop,8,1,371,East,370
13,13,1,1,1,1,14,6,3,1,15,13,7,1,8,-1,2,-1,East,Stop,East,Stop,9,1,370,East,369
14,13,1,1,1,1,15,6,3,1,16,13,7,1,8,-1,2,-1,East,Stop,East,Stop,8,1,369,East,368
15,13,1,1,1,1,16,6,3,1,17,13,7,1,8,-1,2,-1,East,Stop,Stop,Stop,7,1,368,East,367
16,13,1,1,1,1,17,6,3,1,17,13,7,1,8,-1,1,-1,East,Stop,Stop,Stop,6,1,367,East,566
17,13,1,1,1,1,18,6,3,1,5,1,7,1,8,-1,-1,-1,West,Stop,Stop,Stop,5,1,566,West,565
18,13,1,1,0,1,17,6,3,1,5,1,7,1,8,-1,-1,-1,East,Stop,Stop,Stop,4,1,565,East,564
17,13,1,1,1,1,18,6,3,1,5,1,7,1,8,-1,-1,-1,East,Stop,Stop,Stop,5,1,564,South,563
18,13,1,1,0,1,18,6,3,1,5,1,7,1,7,-1,-1,-1,North,Stop,Stop,Stop,4,1,563,South,562
18,12,1,1,0,1,18,7,3,1,5,1,7,1,5,-1,-1,-1,West,Stop,Stop,Stop,3,1,562,West,561
18,11,1,1,0,1,17,7,3,1,5,1,7,1,5,-1,-1,-1,South,Stop,Stop,Stop,2,1,561,South,560
17,11,1,1,1,1,17,6,3,1,5,1,7,1,5,-1,-1,-1,East,Stop,Stop,Stop,3,1,560,East,559
17,10,1,1,1,1,18,6,3,1,5,1,7,1,5,-1,-1,-1,South,Stop,Stop,Stop,2,1,559,South,558
18,10,1,1,0,1,18,5,3,1,5,1,7,1,5,-1,-1,-1,South,Stop,Stop,Stop,1,1,558,South,657
18,9,1,1,0,1,18,5,3,1,5,1,7,1,4,-1,-1,-1,West,Stop,Stop,Stop,-1,0,657,West,656
18,8,1,1,0,1,17,5,3,1,5,1,7,1,4,-1,-1,-1,North,Stop,Stop,Stop,-1,0,656,South,655
17,8,1,1,1,1,17,6,3,1,5,1,7,1,2,-1,-1,-1,West,Stop,Stop,Stop,-1,0,655,West,654
17,7,1,1,1,1,16,6,3,1,5,1,7,1,2,-1,-1,-1,Stop,Stop,Stop,Stop,-1,0,654,South,653
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,North,South,North,7,1,0,North,-1
13,10,1,1,1,1,5,6,5,13,13,5,13,12,12,11,5,3,Stop,North,West,North,6,1,-1,North,-2
13,11,1,1,1,1,5,6,5,14,12,5,13,13,13,11,7,3,East,West,West,North,7,1,-2,North,-3
13,12,1,1,1,1,6,6,4,14,11,5,13,14,13,11,9,2,North,East,East,Stop,8,1,-3,West,196
13,13,1,1,1,1,6,7,5,14,12,5,13,14,13,9,9,-1,East,East,East,Stop,9,1,196,West,195
12,13,1,1,1,1,7,7,5,14,12,5,7,1,11,8,8,-1,East,East,North,Stop,10,1,195,West,194
11,13,1,1,1,1,7,7,6,14,12,6,7,1,10,6,8,-1,East,East,North,Stop,11,1,194,West,193
10,13,1,1,1,1,8,7,7,14,12,7,7,1,8,4,8,-1,North,East,West,Stop,12,1,193,West,192
9,13,1,1,1,1,8,8,7,14,11,7,7,1,6,3,8,-1,East,West,East,Stop,13,1,192,West,191
8,13,1,1,1,1,9,8,6,14,12,7,7,1,6,3,10,-1,East,Stop,East,Stop,14,1,191,North,190
7,13,1,1,1,1,10,8,7,14,13,7,7,1,8,1,12,-1,East,Stop,West,Stop,15,1,190,East,389
7,14,0,1,1,1,11,8,3,1,12,7,7,1,10,-1,12,-1,West,Stop,West,Stop,16,1,389,East,388
8,14,0,1,1,1,10,8,3,1,12,7,7,1,8,-1,11,-1,South,Stop,North,Stop,15,1,388,East,387
9,14,0,1,1,1,10,7,3,1,12,8,7,1,8,-1,9,-1,West,Stop,North,Stop,14,1,387,West,386
10,14,0,1,1,1,9,7,3,1,12,9,7,1,8,-1,7,-1,East,Stop,East,Stop,13,1,386,East,385
9,14,0,1,1,1,10,7,3,1,13,9,7,1,8,-1,9,-1,South,Stop,West,Stop,14,1,385,South,384
10,14,0,1,1,1,10,6,3,1,12,9,7,1,8,-1,7,-1,North,Stop,North,Stop,13,1,384,South,383
10,13,1,1,1,1,10,7,3,1,12,10,7,1,6,-1,5,-1,East,Stop,North,Stop,12,1,383,East,382
10,12,1,1,1,1,11,7,3,1,12,11,7,1,6,-1,3,-1,North,Stop,South,Stop,11,1,382,South,381
11,12,1,1,1,1,11,8,3,1,12,10,7,1,4,-1,3,-1,West,Stop,South,Stop,10,1,381,West,380
11,11,1,1,1,1,10,8,3,1,12,10,7,1,4,-1,2,-1,East,Stop,West,Stop,9,1,380,East,379
10,11,1,1,1,1,11,8,3,1,11,10,7,1,4,-1,2,-1,East,Stop,South,Stop,10,1,379,East,378
11,11,1,1,1,1,12,8,3,1,11,9,7,1,4,-1,2,-1,East,Stop,South,Stop,9,1,378,South,377
12,11,1,1,1,1,12,8,3,1,11,8,7,1,3,-1,4,-1,West,Stop,West,Stop,8,1,377,West,376
12,10,1,1,1,1,11,8,3,1,10,8,7,1,3,-1,4,-1,West,Stop,West,Stop,7,1,376,South,375
11,10,1,1,1,1,11,8,3,1,9,8,7,1,2,-1,4,-1,West,Stop,East,Stop,8,1,375,West,374
11,9,1,1,1,1,10,8,3,1,10,8,7,1,2,-1,2,-1,West,Stop,West,Stop,7,1,374,West,373
10,9,1,1,1,1,9,8,3,1,9,8,7,1,2,-1,2,-1,Stop,Stop,East,Stop,8,1,373,South,372
9,9,1,1,1,1,9,8,3,1,10,8,7,1,1,-1,2,-1,Stop,Stop,East,Stop,9,1,372,East,571
9,8,1,1,1,1,1,1,3,1,11,8,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,10,1,571,East,570
10,8,1,1,1,1,1,1,3,1,12,8,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,9,1,570,East,569
11,8,1,1,1,1,1,1,3,1,13,8,7,1,-1,-1,2,-1,Stop,Stop,South,Stop,8,1,569,East,568
12,8,1,1,1,1,1,1,3,1,13,7,7,1,-1,-1,2,-1,Stop,Stop,Stop,Stop,7,1,568,South,567
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,South,West,West,East,7,1,0,North,-1
13,10,1,1,1,1,5,5,4,12,12,6,13,12,13,11,5,3,East,South,South,Stop,6,1,-1,East,-2
13,11,1,1,1,1,6,5,4,11,12,5,14,12,13,9,7,1,South,West,South,Stop,7,1,-2,West,197
14,11,1,1,1,1,6,4,3,11,12,5,7,1,15,11,8,-1,South,West,South,Stop,6,1,197,West,196
13,11,1,1,1,1,6,4,2,11,12,5,7,1,14,11,7,-1,East,North,East,Stop,7,1,196,West,195
12,11,1,1,1,1,7,4,2,12,13,5,7,1,12,11,7,-1,West,East,East,Stop,8,1,195,West,194
11,11,1,1,1,1,6,4,3,12,14,5,7,1,12,9,9,-1,East,East,North,Stop,9,1,194,West,193
10,11,1,1,1,1,7,4,4,12,14,6,7,1,10,7,9,-1,West,East,West,Stop,10,1,193,West,192
9,11,1,1,1,1,6,4,5,12,13,6,7,1,10,5,9,-1,West,East,North,Stop,11,1,192,West,191
8,11,1,1,1,1,6,4,6,12,13,7,7,1,9,3,9,-1,South,East,South,Stop,12,1,191,West,190
7,11,1,1,1,1,6,3,6,12,13,6,7,1,9,2,11,-1,North,North,East,Stop,13,1,190,North,189
6,11,1,1,1,1,6,4,6,13,14,6,7,1,7,2,13,-1,South,East,East,Stop,14,1,189,East,188
6,12,1,1,1,1,6,3,7,13,14,6,7,1,9,2,14,-1,North,West,South,Stop,15,1,188,West,187
7,12,1,1,1,1,6,4,6,13,14,5,7,1,9,2,14,-1,North,Stop,North,Stop,14,1,187,South,386
6,12,1,1,1,1,6,4,3,1,14,6,7,1,8,-1,14,-1,North,Stop,North,Stop,15,1,386,South,385
6,11,1,1,1,1,6,4,3,1,14,6,7,1,7,-1,13,-1,East,Stop,West,Stop,14,1,385,East,384
6,10,1,1,1,0,7,4,3,1,13,6,7,1,7,-1,11,-1,East,Stop,West,Stop,13,1,384,South,383
7,10,1,1,1,1,7,4,3,1,13,6,7,1,6,-1,10,-1,North,Stop,West,Stop,12,1,383,South,382
7,9,1,1,1,1,7,5,3,1,12,6,7,1,4,-1,8,-1,North,Stop,East,Stop,11,1,382,South,381
7,8,1,1,1,1,7,6,3,1,13,6,7,1,2,-1,8,-1,Stop,Stop,East,Stop,12,1,381,South,380
7,7,1,1,1,1,7,6,3,1,13,6,7,1,1,-1,7,-1,Stop,Stop,East,Stop,13,1,380,East,579
7,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,6,-1,Stop,Stop,East,Stop,14,1,579,East,578
8,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,5,-1,Stop,Stop,East,Stop,13,1,578,East,577
9,6,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,4,-1,Stop,Stop,North,Stop,12,1,577,East,576
10,6,1,1,1,1,1,1,3,1,13,7,7,1,-1,-1,4,-1,Stop,Stop,West,Stop,11,1,576,East,575
11,6,1,1,1,1,1,1,3,1,12,7,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,10,1,575,East,574
12,6,1,1,1,1,1,1,3,1,13,7,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,9,1,574,East,573
13,6,1,1,1,1,1,1,3,1,14,7,7,1,-1,-1,2,-1,Stop,Stop,North,Stop,8,1,573,North,572
14,6,1,1,1,1,1,1,3,1,14,8,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,7,1,572,East,571
14,7,1,1,1,1,1,1,3,1,15,8,7,1,-1,-1,2,-1,Stop,Stop,Stop,Stop,6,1,571,North,570
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,North,Stop,East,North,7,1,0,North,-1
13,10,1,1,1,1,5,7,5,12,14,6,13,12,11,10,5,3,East,North,South,North,6,1,-1,North,-2
13,11,1,1,1,1,6,7,5,13,14,5,13,13,11,10,7,3,North,South,North,North,7,1,-2,North,-3
13,12,1,1,1,1,6,8,5,12,14,6,13,14,11,8,7,2,South,West,West,Stop,8,1,-3,West,196
13,13,1,1,1,1,6,7,4,12,13,6,13,14,13,10,7,-1,West,East,North,Stop,9,1,196,West,195
12,13,1,1,1,1,5,7,5,12,13,7,7,1,13,8,7,-1,West,South,North,Stop,10,1,195,West,194
11,13,1,1,1,1,4,7,5,11,13,7,7,1,13,8,8,-1,West,North,South,Stop,11,1,194,West,193
10,13,1,1,1,1,4,7,5,12,13,6,7,1,12,6,10,-1,South,North,North,Stop,12,1,193,West,192
9,13,1,1,1,1,4,6,5,13,13,7,7,1,12,4,10,-1,West,West,South,Stop,13,1,192,West,191
8,13,1,1,1,1,3,6,4,13,13,6,7,1,12,4,12,-1,East,South,North,Stop,14,1,191,West,190
7,13,1,1,1,1,4,6,4,12,13,7,7,1,10,4,12,-1,East,South,East,Stop,15,1,190,West,189
6,13,1,1,1,1,5,6,4,11,14,7,7,1,8,4,14,-1,East,West,South,Stop,16,1,189,West,188
5,13,1,1,1,1,5,6,3,11,14,6,7,1,7,4,16,-1,West,West,East,Stop,17,1,188,West,187
4,13,1,1,1,1,4,6,2,11,15,6,7,1,7,4,18,-1,North,North,West,Stop,18,1,187,West,186
3,13,1,1,1,1,4,7,2,12,14,6,7,1,7,2,18,-1,North,West,North,Stop,19,1,186,West,185
2,13,1,1,1,1,4,8,1,12,14,7,7,1,7,2,18,-1,West,Stop,South,Stop,20,1,185,South,184
1,13,1,1,1,0,3,8,1,12,14,6,7,1,7,1,20,-1,North,Stop,South,Stop,21,1,184,East,383
1,12,1,1,1,0,3,9,3,1,14,6,7,1,5,-1,19,-1,West,Stop,West,Stop,20,1,383,South,382
2,12,1,1,1,1,2,9,3,1,13,6,7,1,3,-1,17,-1,West,Stop,North,Stop,19,1,382,West,381
2,11,1,0,1,1,1,9,3,1,13,7,7,1,3,-1,15,-1,West,Stop,North,Stop,18,1,381,East,380
1,11,1,0,1,0,1,9,3,1,13,7,7,1,2,-1,16,-1,East,Stop,North,Stop,19,1,380,East,379
2,11,1,0,1,1,2,9,3,1,13,8,7,1,2,-1,14,-1,West,Stop,East,Stop,18,1,379,East,378
3,11,1,0,1,1,1,9,3,1,14,8,7,1,4,-1,14,-1,West,Stop,East,Stop,17,1,378,East,377
4,11,1,0,1,1,1,9,3,1,15,8,7,1,5,-1,14,-1,East,Stop,South,Stop,16,1,377,East,376
5,11,1,0,1,1,2,9,3,1,15,7,7,1,5,-1,14,-1,West,Stop,South,Stop,15,1,376,South,375
6,11,1,1,1,1,1,9,3,1,15,6,7,1,7,-1,14,-1,West,Stop,North,Stop,14,1,375,South,374
6,10,1,1,1,0,1,9,3,1,15,7,7,1,6,-1,12,-1,East,Stop,South,Stop,13,1,374,West,373
6,9,1,1,1,1,2,9,3,1,15,6,7,1,4,-1,12,-1,South,Stop,South,Stop,12,1,373,West,372
5,9,0,1,1,1,2,8,3,1,15,5,7,1,4,-1,14,-1,North,Stop,West,Stop,13,1,372,West,371
4,9,0,1,1,1,2,9,3,1,14,5,7,1,2,-1,14,-1,Stop,Stop,North,Stop,14,1,371,East,570
3,9,0,1,1,1,1,1,3,1,14,6,7,1,-1,-1,14,-1,Stop,Stop,South,Stop,15,1,570,East,569
4,9,0,1,1,1,1,1,3,1,14,5,7,1,-1,-1,14,-1,Stop,Stop,South,Stop,14,1,569,East,568
5,9,0,1,1,1,1,1,3,1,14,5,7,1,-1,-1,13,-1,Stop,Stop,North,Stop,13,1,568,East,567
6,9,1,1,1,1,1,1,3,1,14,6,7,1,-1,-1,11,-1,Stop,Stop,North,Stop,12,1,567,East,566
7,9,1,1,1,1,1,1,3,1,14,6,7,1,-1,-1,10,-1,Stop,Stop,West,Stop,11,1,566,East,565
8,9,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,8,-1,Stop,Stop,West,Stop,10,1,565,East,564
9,9,1,1,1,1,1,1,3,1,12,6,7,1,-1,-1,6,-1,Stop,Stop,South,Stop,9,1,564,East,563
10,9,1,1,1,1,1,1,3,1,12,5,7,1,-1,-1,6,-1,Stop,Stop,West,Stop,8,1,563,South,562
11,9,1,1,1,1,1,1,3,1,11,5,7,1,-1,-1,4,-1,Stop,Stop,North,Stop,7,1,562,South,561
11,8,1,1,1,1,1,1,3,1,11,6,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,8,1,561,East,560
11,7,1,1,1,1,1,1,3,1,12,6,7,1,-1,-1,2,-1,Stop,Stop,West,Stop,9,1,560,West,559
